anomaly,time_est,eevp,votes_total,share_biden,share_trump,share_other,total_biden,total_trump,total_other,batch_votes,batch_biden,batch_trump,batch_other,note
false,2020-11-04 03:05:05,95,736147,0.347,0.622,0.031,255443,457883,22820,4753,186,4419,147,
false,2020-11-04 03:06:49,98,755733,0.342,0.626,0.032,258460,473088,24183,19586,3017,15205,1362,
false,2020-11-04 03:41:49,99,785273,0.347,0.622,0.031,272489,488439,24343,29540,14029,15350,160,
false,2020-11-04 03:41:54,99,799548,0.344,0.625,0.031,275044,499717,24785,14275,2554,11277,442,
false,2020-11-04 04:02:51,99,815347,0.34,0.629,0.03,277217,512853,24460,15799,2173,13135,-325,
false,2020-11-04 04:28:46,99,820319,0.339,0.63,0.03,278088,516800,24609,4972,870,3947,149,
false,2020-11-04 05:11:49,99,832234,0.339,0.629,0.032,282127,523475,26631,11915,4039,6674,2021,
true,2020-11-04 06:01:51,99,837301,0.338,0.631,0.03,283007,528336,25119,5067,880,4861,-1512,Other -1512 votes
false,2020-11-04 10:09:34,99,837318,0.338,0.631,0.03,283013,528347,25119,17,5,10,0,
false,2020-11-04 20:18:12,99,862232,0.332,0.637,0.03,286261,549241,25866,24914,3247,20894,747,
false,2020-11-06 10:33:07,99,862986,0.332,0.637,0.03,286511,549722,25889,754,250,480,22,
false,2020-11-06 10:33:35,99,867971,0.331,0.638,0.03,287298,553765,26039,4985,787,4043,149,
